source_service,target_service,dependency_type,protocol,timeout_ms,is_critical
api-gateway,auth-service,SYNC,HTTP,3000,true
api-gateway,user-service,SYNC,HTTP,3000,true
api-gateway,order-service,SYNC,HTTP,5000,true
api-gateway,search-service,SYNC,HTTP,3000,false
auth-service,postgres-primary,SYNC,TCP,5000,true
auth-service,cache-layer,SYNC,TCP,1000,false
user-service,postgres-primary,SYNC,TCP,5000,true
user-service,cache-layer,SYNC,TCP,1000,false
order-service,payment-service,SYNC,HTTP,10000,true
order-service,inventory-service,SYNC,HTTP,5000,true
order-service,postgres-primary,SYNC,TCP,5000,true
order-service,message-queue,ASYNC,AMQP,5000,false
payment-service,postgres-primary,SYNC,TCP,5000,true
payment-service,message-queue,ASYNC,AMQP,5000,false
inventory-service,postgres-primary,SYNC,TCP,5000,true
inventory-service,cache-layer,SYNC,TCP,1000,false
notification-svc,message-queue,ASYNC,AMQP,5000,false
search-service,cache-layer,SYNC,TCP,1000,true
postgres-replica,postgres-primary,REPLICATION,TCP,0,true
