timestamp,service_name,cpu_usage,memory_usage,disk_io,network_latency_ms,request_count,error_rate,response_time_p99,active_connections,gc_pause_ms,thread_count,is_anomaly
2026-07-01T00:00:00Z,api-gateway,18.99,59.79,8.89,6.7,7453,0.0483,28.01,156,5.51,65,0
2026-07-01T00:00:00Z,auth-service,10.79,43.61,1.0,3.99,4163,0.0048,9.82,75,3.66,19,0
2026-07-01T00:00:00Z,user-service,15.2,47.86,4.99,4.2,4769,0.034,9.61,92,4.18,46,0
2026-07-01T00:00:00Z,order-service,18.4,64.99,6.9,8.66,3246,0.0514,39.87,76,6.72,34,0
2026-07-01T00:00:00Z,payment-service,9.65,54.55,1.0,11.39,1407,0.0206,35.89,10,5.78,10,0
2026-07-01T00:00:00Z,inventory-service,14.25,51.33,7.49,6.88,2458,0.0139,13.09,60,4.96,21,0
2026-07-01T00:00:00Z,notification-svc,9.94,42.03,3.83,16.15,2072,0.0436,50.26,56,4.17,30,0
2026-07-01T00:00:00Z,search-service,21.3,69.91,5.68,21.95,4680,0.0613,63.18,78,6.2,34,0
2026-07-01T00:00:00Z,cache-layer,5.0,74.25,3.83,1.33,12394,0.0061,4.48,257,6.72,101,0
2026-07-01T00:00:00Z,message-queue,13.82,44.56,1.0,2.38,8920,0.0021,9.42,176,4.67,60,0
2026-07-01T00:00:00Z,postgres-primary,25.77,79.89,6.47,10.64,6012,0.035,30.95,123,7.95,43,0
2026-07-01T00:00:00Z,postgres-replica,19.8,68.28,6.37,13.24,3839,0.024,46.76,90,5.95,36,0
2026-07-01T00:05:00Z,api-gateway,14.53,59.15,6.01,4.6,7189,0.051,8.49,148,5.0,66,0
2026-07-01T00:05:00Z,auth-service,11.34,43.67,3.82,3.59,4208,0.0253,17.6,109,4.04,42,0
2026-07-01T00:05:00Z,user-service,15.78,51.17,3.84,2.78,5104,0.0332,9.59,105,4.44,43,0
2026-07-01T00:05:00Z,order-service,20.68,66.27,8.62,7.13,3709,0.0539,25.05,64,5.88,19,0
2026-07-01T00:05:00Z,payment-service,12.89,55.62,6.8,14.1,1450,0.0025,37.84,20,5.48,10,0
2026-07-01T00:05:00Z,inventory-service,16.13,50.81,11.92,6.25,2218,0.0198,13.93,54,5.12,20,0
